RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
8,0.62,2.599416,1,1,3.8,2020,2.856,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,7000,146.0,730.0,261.0,55,8,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.7,6.225000000000001,-1.4749999999999988,-19.15584415584414,FAIL,G3_7to10s
9,0.65,2.654256,1,0,4.0,1737,2.73,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.05,1,0,0,0,0,750,6500,50.0,250.0,118.0,55,12,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.9,8.15,0.25,3.164556962025316,PASS,G3_7to10s
19,0.62,2.408258,1,1,3.8,2025,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.05,1,0,0,0,0,750,7000,110.0,550.0,270.0,55,12,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,8.7,6.195,-2.504999999999999,-28.793103448275854,FAIL,G3_7to10s
23,0.62,2.41194,1,1,3.8,2040,2.896,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.05,1,0,0,0,0,750,7000,110.0,550.0,270.0,55,12,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.8,6.2,-1.5999999999999996,-20.51282051282051,FAIL,G3_7to10s
35,0.62,2.331354,1,1,3.8,2125,2.998,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.05,1,0,0,0,0,750,6500,132.0,660.0,338.0,55,12,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.1,5.325,-1.7749999999999995,-24.999999999999993,FAIL,G3_7to10s
154,0.61,2.13278,1,1,3.8,1525,2.665,0.4,1,0.5,1,0,0,1,0,3.8,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.05,0,0,0,0,1,750,7000,170.0,850.0,662.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,45,50,15000,0.04,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.1,5.24,-1.8599999999999994,-26.19718309859154,FAIL,G3_7to10s
224,0.62,2.543688,1,1,3.8,1772,2.779,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.05,1,0,0,0,0,750,6500,145.0,725.0,607.0,55,12,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.8,4.915,-2.885,-36.98717948717948,FAIL,G3_7to10s
227,0.62,2.578914,1,1,3.8,2735,3.022,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,6500,150.0,750.0,467.0,55,10,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,9.3,5.315,-3.9850000000000003,-42.84946236559139,FAIL,G3_7to10s
235,0.62,2.553018,1,1,3.8,2759,3.197,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,6500,150.0,750.0,452.0,200,22,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.9,5.9,-2.0,-25.316455696202528,FAIL,G3_7to10s
243,0.62,2.54969,1,1,3.8,2580,2.997,0.4,1,0.5,1,0,0,1,0,0.0,performance,1,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,6500,150.0,750.0,390.0,200,22,18000,0.04,0,0,0,0.0,0,0,0,0,0,0,0,0.0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,9.9,5.93,-3.9700000000000006,-40.101010101010104,FAIL,G3_7to10s
