RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,
91,0.62,2.46715,1,1,3.8,2510,3.006,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.05,1,0,0,0,0,750,6500,150,750,430,280,145,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,3.5
92,0.62,2.758896,1,1,3.8,2550,3.006,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.05,1,0,0,0,0,750,6500,150,750,430,280,145,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,3.6
101,0.62,2.48589,1,1,3.8,2055,2.865,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,7000,108,540,280,200,13,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.6
103,0.62,2.505725,1,1,3.8,2420,2.975,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,6500,150,750,390,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.3
105,0.62,2.46715,1,1,3.8,2475,2.972,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,6500,150,750,460,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,3.9
106,0.72,3.67,1,1,3.8,2390,2.975,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,6500,150,750,390,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.3
108,0.68,3.112105,1,1,3.8,2445,2.972,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,6500,150,750,460,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,3.9
109,0.62,2.47975,1,1,3.8,2675,3.105,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[5.5, 3.52, 2.2, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.05,1,0,0,0,0,750,6500,150,750,390,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.7
110,0.62,2.47975,1,1,3.8,2785,3.105,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.05,0,1,0,0,0,750,6500,130,650,360,0,0,0,0,280,145,10000,0.04,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.3
115,0.62,2.547,1,1,3.8,1907,2.722,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[2.9, 1.76, 1.22, 0.88, 0.65, 0.51, 0.4, 0.33]",8,0.05,1,0,0,0,0,750,6500,122.6,613,354,165,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,2.9
