RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
53,0.644,2.450251,1,1,3.73,1630,2.725,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.42, 2.22, 1.6, 1.0, 0.75]",5,0.35,3300,,0.0,0,0,0,0,0,1000,7000,67.0,335,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.2,6.695,-0.5049999999999999,-7.0138888888888875,PASS,G3_7to10s
98,0.619,2.327958,0,0,3.46,1380,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,1.2,2997,,0.0,0,0,0,0,0,1000,7000,66.0,330,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.3,6.625,-0.6749999999999998,-9.246575342465752,PASS,G3_7to10s
137,0.654,2.603295,0,0,3.45,1790,2.833,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.55, 2.24, 1.54, 1.0, 0.79]",5,1.0,3430,,0.0,0,0,0,0,0,1000,6500,82.0,410,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.1,6.57,-0.5299999999999994,-7.464788732394358,PASS,G3_7to10s
138,0.654,2.603295,0,0,3.45,1830,2.947,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.55, 2.24, 1.54, 1.0, 0.79]",5,0.8,3430,,0.0,0,0,0,0,0,1000,6500,82.0,410,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.1,6.45,-0.6499999999999995,-9.154929577464783,PASS,G3_7to10s
154,0.607,2.13278,0,0,3.73,1250,2.447,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.83, 2.2, 1.4, 1.0, 0.81]",5,0.6,2693,,0.0,0,0,0,0,0,1000,6500,52.2,261,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.1,7.01,-0.08999999999999986,-1.267605633802815,PASS,G3_7to10s
201,0.6404,2.604148,1,0,3.09,1220,2.566,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.77, 1.96, 1.28, 0.93, 0.74, 0.65]",6,0.6,1498,Turbo,0.0,0,0,0,0,0,1000,6500,40.0,200,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,9.9,9.335,-0.5649999999999995,-5.707070707070702,PASS,G3_7to10s
204,0.6345,2.475845,1,0,4.24,1160,2.513,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.3, 1.94, 1.31, 1.03, 0.84]",5,0.6,1595,,0.0,0,0,0,0,0,1000,6500,34.0,170,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,9.6,9.065,-0.5350000000000001,-5.572916666666669,PASS,G3_7to10s
205,0.6345,2.475845,1,0,3.68,1175,2.513,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.3, 1.94, 1.31, 1.03, 0.84]",5,0.6,1595,,0.0,0,0,0,0,0,1000,6500,42.0,210,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,8.1,7.8100000000000005,-0.28999999999999915,-3.5802469135802366,PASS,G3_7to10s
207,0.6345,2.51336,1,0,3.65,1500,2.578,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.06, 1.46, 1.11, 0.88, 0.72]",6,0.6,1390,Turbo,0.0,0,0,0,0,0,1000,6200,50.0,250,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,8.2,8.885,0.6850000000000005,8.353658536585373,PASS,G3_7to10s
208,0.6345,2.51336,1,0,3.09,1510,2.578,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.36, 2.09, 1.47, 1.1, 1.11, 0.93]",6,0.6,1595,,0.0,0,0,0,0,0,1000,6500,56.0,280,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.4,7.675,0.27499999999999947,3.7162162162162087,PASS,G3_7to10s
