RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
210,0.6345,2.508065,1,0,4.53,1280,2.578,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.46, 1.96, 1.28, 0.97, 0.81]",5,0.6,1595,,0.0,0,0,0,0,0,1000,6200,29.6,148,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.9,10.925,-0.9749999999999996,-8.193277310924367,PASS,G4_10to13s
211,0.6345,2.508065,1,0,3.65,1300,2.578,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.27, 1.52, 1.19, 0.97, 0.82]",6,0.6,1390,Turbo,0.0,0,0,0,0,0,1000,6200,31.0,155,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.9,10.495000000000001,-0.40499999999999936,-3.7155963302752233,PASS,G4_10to13s
212,0.6319,2.526337,1,0,3.09,1420,2.595,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.62, 1.96, 1.28, 0.97, 0.78, 0.65]",6,0.6,1395,Turbo,0.0,0,0,0,0,0,1000,6200,40.0,200,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.6,9.950000000000001,-0.6499999999999986,-6.1320754716981,PASS,G4_10to13s
213,0.6319,2.526337,1,0,3.09,1430,2.595,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.62, 1.95, 1.28, 0.97, 0.78, 0.65]",6,0.6,1395,Turbo,0.0,0,0,0,0,0,1000,6200,40.0,200,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.6,10.005,-0.5949999999999989,-5.613207547169801,PASS,G4_10to13s
239,0.6345,2.54969,1,0,4.11,1370,2.687,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.18, 1.43, 1.03, 0.84]",5,0.8,1781,,0.0,0,0,0,0,0,1000,6500,33.6,168,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.2,10.370000000000001,-0.8299999999999983,-7.4107142857142705,PASS,G4_10to13s
240,0.6345,2.54969,1,1,4.56,1470,2.692,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.18, 1.43, 1.03, 0.79]",5,0.8,1781,,0.0,0,0,0,0,0,1000,6500,33.6,168,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.5,10.44,-1.0600000000000005,-9.21739130434783,PASS,G4_10to13s
241,0.6345,2.54969,1,0,4.11,1345,2.687,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 2.12, 1.43, 1.03, 0.84]",5,1.0,1781,,0.0,0,0,0,0,0,1000,6500,31.4,157,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,12.9,11.645,-1.2550000000000008,-9.728682170542642,PASS,G4_10to13s
242,0.6345,2.54969,1,0,4.11,1355,2.687,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.35, 2.1, 1.43, 1.03, 0.84]",5,1.0,1781,,0.0,0,0,0,0,0,1000,6500,33.6,168,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.9,10.745000000000001,-1.1549999999999994,-9.70588235294117,PASS,G4_10to13s
244,0.6345,2.56752,1,0,4.11,1405,2.687,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.35, 2.1, 1.43, 1.03, 0.84]",5,1.2,1984,,0.0,0,0,0,0,0,1000,6500,33.6,168,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,12.2,11.27,-0.9299999999999997,-7.62295081967213,PASS,G4_10to13s
245,0.6345,2.56752,1,0,4.11,1420,2.687,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.18, 1.43, 1.03, 0.84]",5,0.6,1984,,0.0,0,0,0,0,0,1000,6500,33.6,168,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.4,10.315,-1.0850000000000009,-9.51754385964913,PASS,G4_10to13s
