RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
859,0.6215,3.097638,1,0,4.54,1200,2.69,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.64, 1.95, 1.28, 0.98, 0.77]",5,1.2,1761,,0.0,0,0,0,0,0,1000,6500,24.0,120,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,17.5,13.955,-3.545,-20.257142857142856,FAIL,G5_gt13s
860,0.6345,3.097638,1,0,4.54,1272,2.693,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.64, 1.95, 1.28, 0.98, 0.77]",5,1.2,1587,,0.0,0,0,0,0,0,1000,6500,24.0,120,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,17.5,14.605,-2.8949999999999996,-16.54285714285714,FAIL,G5_gt13s
861,0.6215,3.097638,1,0,5.07,1472,2.728,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.46, 1.87, 1.29, 0.95, 0.74]",5,1.2,1360,,0.0,0,0,0,0,0,1000,6500,26.4,132,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,17.5,13.905000000000001,-3.594999999999999,-20.542857142857137,FAIL,G5_gt13s
862,0.6345,3.097638,1,0,4.05,1272,2.693,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.45, 1.87, 1.28, 0.95, 0.8]",5,1.2,1587,,0.0,0,0,0,0,0,1000,6500,24.0,120,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,17.5,14.21,-3.289999999999999,-18.799999999999994,FAIL,G5_gt13s
863,0.6215,2.6503,1,0,4.54,1211,2.46,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.42, 1.81, 1.28, 0.98, 0.76]",5,0.6,1360,,0.0,0,0,0,0,0,1000,6500,23.2,116,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,13.9,13.405000000000001,-0.4949999999999992,-3.5611510791366845,PASS,G5_gt13s
865,0.6215,2.548843,1,0,4.29,1053,2.46,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.42, 1.81, 1.28, 0.98, 0.77]",5,1.2,1124,,0.0,0,0,0,0,0,1000,6500,18.8,94,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,17.3,14.785,-2.5150000000000006,-14.537572254335263,FAIL,G5_gt13s
866,0.5831,2.548843,1,0,3.94,1080,2.46,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.42, 1.81, 1.28, 0.98, 0.77]",5,1.2,1124,,0.0,0,0,0,0,0,1000,6500,23.2,116,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,14.2,12.745000000000001,-1.4549999999999983,-10.246478873239425,FAIL,G5_gt13s
868,0.6215,2.51717,1,0,3.76,1119,2.46,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.42, 1.95, 1.37, 1.05, 0.85]",5,1.2,1360,,0.0,0,0,0,0,0,1000,6500,26.6,133,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,14.5,10.895,-3.6050000000000004,-24.862068965517246,FAIL,G5_gt13s
869,0.6215,2.548843,1,0,3.76,1126,2.46,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.42, 1.95, 1.37, 1.05, 0.85]",5,1.2,1360,,0.0,0,0,0,0,0,1000,6500,26.6,133,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,14.5,10.950000000000001,-3.549999999999999,-24.482758620689648,FAIL,G5_gt13s
871,0.6319,2.579202,1,0,4.54,1256,2.608,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.64, 1.95, 1.28, 0.98, 0.77]",5,1.2,1360,,0.0,0,0,0,0,0,1000,6500,26.6,133,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,14.2,12.51,-1.6899999999999995,-11.901408450704222,FAIL,G5_gt13s
875,0.6683,2.970296,1,0,4.76,1585,2.728,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.46, 1.87, 1.29, 0.95, 0.74]",5,1.2,1749,,0.0,0,0,0,0,0,1000,6500,34.0,170,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,13.4,11.955,-1.4450000000000003,-10.78358208955224,FAIL,G5_gt13s
876,0.6683,2.970296,1,0,4.7,1675,2.728,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[2.73, 1.5, 1.0, 0.71]",4,1.2,1749,,0.0,0,0,0,0,0,1000,6500,40.0,200,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,13.7,10.445,-3.254999999999999,-23.759124087591236,FAIL,G5_gt13s
878,0.6319,2.579202,1,0,4.54,1256,2.608,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.64, 1.95, 1.28, 0.98, 0.77]",5,1.2,1360,,0.0,0,0,0,0,0,1000,6500,26.6,133,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,14.2,12.51,-1.6899999999999995,-11.901408450704222,FAIL,G5_gt13s
881,0.6319,2.579202,1,0,4.54,1257,2.608,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.64, 1.95, 1.28, 0.98, 0.77]",5,1.2,1360,,0.0,0,0,0,0,0,1000,6500,26.6,133,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,14.2,12.515,-1.6849999999999987,-11.866197183098583,FAIL,G5_gt13s
884,0.6319,2.94791,1,0,4.7,1627,2.728,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[2.73, 1.5, 1.0, 0.71]",4,1.2,1749,,0.0,0,0,0,0,0,1000,6500,40.0,200,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,13.1,10.195,-2.9049999999999994,-22.175572519083968,FAIL,G5_gt13s
911,0.6215,2.678364,1,0,4.21,1050,2.589,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.73, 2.05, 1.39, 1.03, 0.82]",5,0.8,1149,,0.0,0,0,0,0,0,1000,6500,21.0,105,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,13.6,12.39,-1.209999999999999,-8.897058823529406,PASS,G5_gt13s
912,0.6215,2.678364,1,0,4.5,1016,2.589,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.09, 2.24, 1.39, 1.03, 0.79]",5,1.2,1149,,0.0,0,0,0,0,0,1000,6500,21.4,107,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,14.5,12.345,-2.1549999999999994,-14.862068965517237,FAIL,G5_gt13s
