RUN_ID,Vehicle_Name,Source_URL,Powertrain,Raw_Fuel,Raw_Gearbox,Raw_Drive,Raw_Power,Raw_Torque,Raw_SystemPower,Actual_0_to_100_s,Actual_max_speed_kmh,InputQualityScore,InputWarnings,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,VM,EV,Hy,E0,E1,E2,E3,E4,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Transmission_Type,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,tq_EV_max,Pwr_EV_max_kW,n_EV_max,Pwr_EV_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit
5974,Volvo 440 Turbo Kat (ab 1988),https://www.auto-motor-und-sport.de/marken-modelle/volvo/440/technische-daten/,ICE,Super Benzin,5-Gang Schaltgetriebe,Vorderradantrieb,88 kW / 120 PS bei 5400 U/min,175 Nm bei 3300 U/min,,9,200,100,"",0.6345,2.25,1,0,3.73,1041,2.503,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,1721,Turbo,0.5,0,0,0,0,0,1000,5900,35,175,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
7239,IMSA Murciélago GTR (ab 2006),https://www.auto-motor-und-sport.de/marken-modelle/imsa/lamborghini-murcielago/technische-daten/,ICE,Super Plus,6-Gang Schaltgetriebe,Hinterradantrieb,785 kW / 1.068 PS bei 8100 U/min,1056 Nm bei 3200 U/min,,3.1,380,95,"wheelbase estimated",0.6345,2.05,0,0,4.1,1585,2.65,0.4,1.1,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.8,manual,6496,NA,0,0,0,0,0,0,1000,8600,211.2,1056,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
5228,Skoda Fabia Sedan 1.2 12V (ab 2004),https://www.auto-motor-und-sport.de/marken-modelle/skoda/fabia/typ-6y/technische-daten/,ICE,Super Benzin,5-Gang Schaltgetriebe,Vorderradantrieb,50 kW / 68 PS bei 5000 U/min,120 Nm bei 2500 U/min,,15.8,162,100,"",0.6345,2.25,1,0,4.12,1170,2.462,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,1397,NA,0,0,0,0,0,0,1000,5500,24,120,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
1190,BMW X1 sDrive 20i,https://www.auto-motor-und-sport.de/marken-modelle/bmw/x1/e84/technische-daten/,ICE,Super Benzin,6-Gang Schaltgetriebe,Allradantrieb,180 kW / 245 PS bei 5000 U/min,350 Nm bei 1250 U/min,,6.1,240,100,"",0.7,2.75,1,1,3.38,1655,2.76,0.4,1.3,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.8,manual,1997,Turbo,0.5,0,0,0,0,0,1000,5500,70,350,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
1361,Citroën C3 Puretech 68,https://www.auto-motor-und-sport.de/marken-modelle/citroen/c3/b618-3-gener/technische-daten/,ICE,Super Benzin,5-Gang Schaltgetriebe,Vorderradantrieb,60 kW / 82 PS bei 5750 U/min,118 Nm bei 2750 U/min,,14.6,173,100,"",0.6345,2.25,1,0,4.1,1051,2.539,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,1199,NA,0,0,0,0,0,0,1000,6300,23.6,118,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
5556,Suzuki Swift 1.0 (ab 1996),https://www.auto-motor-und-sport.de/marken-modelle/suzuki/swift/typ-ma/technische-daten/,ICE,Normal Benzin,5-Gang Schaltgetriebe,Vorderradantrieb,39 kW / 53 PS bei 5700 U/min,76 Nm bei 3000 U/min,,16,146,100,"",0.6345,2.25,1,0,4.11,740,2.265,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,993,NA,0,0,0,0,0,0,1000,6200,15.2,76,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
1209,BMW X3 sDrive 20i,https://www.auto-motor-und-sport.de/marken-modelle/bmw/x3/f25/technische-daten/,ICE,Super Benzin,6-Gang Schaltgetriebe,Allradantrieb,135 kW / 184 PS bei 5000 U/min,270 Nm bei 1250 U/min,,8.3,210,100,"",0.7,2.75,1,1,3.64,1785,2.81,0.4,1.3,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.8,manual,1997,Turbo,0.5,0,0,0,0,0,1000,5500,54,270,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
627,Audi Coupé,https://www.auto-motor-und-sport.de/marken-modelle/audi/80/b4-typ-8c/technische-daten/,ICE,Super Benzin,5-Gang Schaltgetriebe,Vorderradantrieb,103 kW / 140 PS bei 5900 U/min,185 Nm bei 4500 U/min,,9.4,207,100,"",0.6345,2.05,1,0,4.11,1230,2.556,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,1984,NA,0,0,0,0,0,0,1000,6400,37,185,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
1029,BMW 523i Touring,https://www.auto-motor-und-sport.de/marken-modelle/bmw/5er/e60-e61/technische-daten/,ICE,Super Benzin,6-Gang Schaltgetriebe,Hinterradantrieb,125 kW / 170 PS bei 6700 U/min,210 Nm bei 4250 U/min,,9,220,100,"",0.6345,2.25,0,0,3.38,1635,2.886,0.4,1.1,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.8,manual,1995,NA,0,0,0,0,0,0,1000,7200,42,210,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
3156,Mercedes AMG GLA 45 4Matic (ab 2015),https://www.auto-motor-und-sport.de/marken-modelle/mercedes/gla/x156/technische-daten/,ICE,Super Plus,7-Gang Doppelkupplungsgetriebe,Allradantrieb,280 kW / 381 PS bei 6000 U/min,475 Nm bei 2250 U/min,,4.4,250,100,"",0.7,2.75,1,1,4.13,1585,2.699,0.4,1.3,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[4.38, 2.86, 1.92, 1.37, 1, 0.82, 0.64]",7,0.18,dct,1991,Turbo,0.5,0,0,0,0,0,1000,6500,95,475,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
