RUN_ID,Vehicle_Name,Source_URL,Powertrain,Raw_Fuel,Raw_Gearbox,Raw_Drive,Raw_Power,Raw_Torque,Raw_SystemPower,Actual_0_to_100_s,Actual_max_speed_kmh,InputQualityScore,InputWarnings,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,VM,EV,Hy,E0,E1,E2,E3,E4,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Transmission_Type,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,tq_EV_max,Pwr_EV_max_kW,n_EV_max,Pwr_EV_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit
7187,Gassner Gassner-Evo hg400R (ab 2012),https://www.auto-motor-und-sport.de/marken-modelle/gassner/mitsubishi-lancer/2-generation/technische-daten/,ICE,Super Plus,5-Gang Schaltgetriebe,Allradantrieb,408 kW / 555 PS bei 8000 U/min,612 Nm bei 4100 U/min,,3.7,300,100,"",0.6345,2.25,1,1,4.69,1576,2.65,0.4,1.2,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,1998,Turbo,0.5,0,0,0,0,0,1000,8500,122.4,612,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
3546,Mitsubishi Colt 1.1 (ab 2005),https://www.auto-motor-und-sport.de/marken-modelle/mitsubishi/colt/z30/technische-daten/,ICE,Super Benzin,5-Gang Schaltgetriebe,Vorderradantrieb,70 kW / 95 PS bei 6000 U/min,125 Nm bei 4000 U/min,,11,180,100,"",0.6345,2.25,1,0,4.16,1030,2.5,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,1332,NA,0,0,0,0,0,0,1000,6500,25,125,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
2476,Lamborghini Huracán EVO (ab 2019),https://www.auto-motor-und-sport.de/marken-modelle/lamborghini/huracan/technische-daten/,ICE,Super Plus,7-Gang Doppelkupplungsgetriebe,Hinterradantrieb,449 kW / 610 PS bei 8000 U/min,560 Nm bei 6500 U/min,,3.3,325,100,"",0.6345,2.05,0,0,2.49,1389,2.62,0.4,0.75,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[4.38, 2.86, 1.92, 1.37, 1, 0.82, 0.64]",7,0.18,dct,5204,NA,0,0,0,0,0,0,1000,8500,112,560,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
5829,Toyota Avensis Combi 1.6 (ab 2000),https://www.auto-motor-und-sport.de/marken-modelle/toyota/avensis/t22/technische-daten/,ICE,Super Benzin,5-Gang Schaltgetriebe,Vorderradantrieb,81 kW / 110 PS bei 6000 U/min,150 Nm bei 3800 U/min,,11.5,195,100,"",0.6345,2.25,1,0,4.06,1310,2.63,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,1598,NA,0,0,0,0,0,0,1000,6500,30,150,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
5605,Suzuki Alto (ab 2009),https://www.auto-motor-und-sport.de/marken-modelle/suzuki/alto/gf/technische-daten/,ICE,Super Benzin,5-Gang Schaltgetriebe,Vorderradantrieb,50 kW / 68 PS bei 6000 U/min,90 Nm bei 3400 U/min,,14,155,100,"",0.6345,2.25,1,0,3.65,930,2.36,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,996,NA,0,0,0,0,0,0,1000,6500,18,90,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
3519,Mini Cooper Roadster (ab 2011),https://www.auto-motor-und-sport.de/marken-modelle/mini/roadster/technische-daten/,ICE,Super Benzin,6-Gang Schaltgetriebe,Vorderradantrieb,135 kW / 184 PS bei 5500 U/min,260 Nm bei 1700 U/min,,7,227,100,"",0.6345,2.25,1,0,3.71,1260,2.467,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.8,manual,1598,Turbo,0.5,0,0,0,0,0,1000,6000,52,260,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
320,Aston Martin DB11 Coupé 5.2 V12 AMR (ab 2018),https://www.auto-motor-und-sport.de/marken-modelle/aston-martin/db11/technische-daten/,ICE,Super Plus,8-Gang Automatikgetriebe,Hinterradantrieb,375 kW / 510 PS bei 6000 U/min,675 Nm bei 2000 U/min,,4.1,301,100,"",0.6345,2.25,0,0,2.7,1760,2.805,0.4,1.1,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,3982,Turbo,0.5,0,0,0,0,0,1000,6500,135,675,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
2396,Lada 2112 GLi 16V (ab 2003),https://www.auto-motor-und-sport.de/marken-modelle/lada/112/2-generation/technische-daten/,ICE,Normal Benzin,5-Gang Schaltgetriebe,Vorderradantrieb,56 kW / 77 PS bei 5400 U/min,116 Nm bei 2800 U/min,,14,167,100,"",0.6345,2.25,1,0,3.71,1070,2.492,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,1499,NA,0,0,0,0,0,0,1000,5900,23.2,116,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
6485,AMG C 55 (ab 1998),https://www.auto-motor-und-sport.de/marken-modelle/amg/mercedes-c-klasse/technische-daten/,ICE,Super Benzin,5-Gang Automatikgetriebe,Hinterradantrieb,255 kW / 347 PS bei 5500 U/min,510 Nm bei 3000 U/min,,5.5,250,100,"",0.6345,2.25,0,0,2.82,1605,2.69,0.4,1.1,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.35,automatic,5439,NA,0,0,0,0,0,0,1000,6000,102,510,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
507,Audi A6 Avant 1.8 Quattro (ab 1995),https://www.auto-motor-und-sport.de/marken-modelle/audi/a6/c4-4a/technische-daten/,ICE,Super Benzin,5-Gang Schaltgetriebe,Allradantrieb,110 kW / 150 PS bei 5500 U/min,225 Nm bei 3500 U/min,,10.3,204,100,"",0.6345,2.25,1,1,4.11,1590,2.692,0.4,1.2,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,2598,NA,0,0,0,0,0,0,1000,6000,45,225,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
1370,Citroën C3 Aircross Puretech 100,https://www.auto-motor-und-sport.de/marken-modelle/citroen/c3-aircross/2-generation/technische-daten/,ICE,Super Benzin,6-Gang Doppelkupplungsgetriebe,Vorderradantrieb,100 kW / 136 PS bei 5500 U/min,230 Nm bei 1750 U/min,,8.8,201,100,"P0-only mild hybrid treated as ICE",0.7,2.75,1,0,4.1,1423,2.67,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.18,dct,1199,Turbo,0.5,0,0,0,0,0,1000,6000,46,230,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
