RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,i_ges_P4,Gear_Ratio,No_Gears,shiftDelay,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc
24,0.62,2.41194,1,0,4,1715,2.924,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.6,1,0,0,0,0,750,6500,74,370,180,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
25,0.62,2.41194,1,1,3.8,1770,2.924,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,6500,74,370,180,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
26,0.62,2.41194,1,1,3.8,2085,2.924,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,0,1,0,0,0,750,6500,74,370,185,0,0,0,0,350,105,10000,0.04,0,0,0,0,0,0,0,0
27,0.62,2.30166,1,1,3.8,1945,2.925,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,7000,100,500,250,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
28,0.62,2.30166,1,0,4,1780,2.924,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.6,1,0,0,0,0,750,6500,74,370,180,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
29,0.62,2.30166,1,1,3.8,1835,2.924,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,6500,74,370,180,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
30,0.62,2.30166,1,1,3.8,1845,2.924,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.6,1,0,0,0,0,750,6500,74,370,195,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
31,0.62,2.30166,1,1,3.8,1845,2.924,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,7000,100,500,250,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
32,0.62,2.27088,1,0,4,1845,2.923,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.51, 0.39]",7,0.6,1,0,0,0,0,750,6500,68,340,150,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
33,0.62,2.27088,1,1,3.8,2055,2.923,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,7000,110,550,270,230,18,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
34,0.62,2.27088,1,1,3.8,2225,2.927,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.51, 0.39]",7,0.1,0,1,0,0,0,750,6500,76,380,185,0,0,0,0,230,105,10000,0.04,0,0,0,0,0,0,0,0
35,0.62,2.331354,1,1,3.8,2125,2.998,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,1,0,0,0,0,750,6500,132,660,338,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
36,0.62,2.331354,1,1,3.8,2155,3.128,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,1,0,0,0,0,750,6500,132,660,338,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
37,0.62,2.331354,1,1,3.8,2305,2.998,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,6500,160,800,420,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
38,0.62,2.331354,1,1,3.8,2160,2.892,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,6500,76,380,185,350,105,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
39,0.62,2.331354,1,1,3.8,2055,2.923,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,7000,110,550,270,230,18,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
40,0.62,2.327958,1,1,3.8,2075,2.923,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,7000,110,550,270,230,18,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
41,0.62,2.401819,1,1,3.8,2125,2.998,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,1,0,0,0,0,750,6500,132,660,338,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
42,0.62,2.401819,1,0,4,1635,2.681,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.6,1,0,0,0,0,750,6500,50,250,110,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
43,0.62,2.401819,1,0,4,1900,2.681,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.1,1,0,0,0,0,750,6500,50,250,130,330,85,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
44,0.62,2.401819,1,0,4,1635,2.681,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.35,1,0,0,0,0,750,6500,50,250,110,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
45,0.62,2.401819,1,1,3.8,1830,2.819,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.35,1,0,0,0,0,750,6500,64,320,150,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
46,0.62,2.401819,1,1,3.8,2105,2.819,3.8,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.51, 0.39]",7,0.6,0,1,0,1,0,750,6500,74,370,185,0,0,0,0,264,80,10000,0.04,0,0,0,0,166,50,15000,0.04
47,0.62,2.375464,1,1,3.8,2225,2.82,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,6500,76,380,185,350,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
48,0.62,2.375464,1,1,3.8,2245,2.82,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,6500,76,380,185,350,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
49,0.62,2.425905,1,1,3.8,2225,2.82,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,6500,76,380,185,350,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
50,0.62,2.425905,1,1,3.8,2245,2.82,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,6500,76,380,185,350,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
51,0.62,2.425905,1,1,3.8,1985,2.82,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.35,1,0,0,0,0,750,6500,68,340,150,55,18,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
52,0.62,2.458946,1,1,3.8,2130,2.995,0,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,7000,100,500,250,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
53,0.62,2.450251,1,1,3.8,2130,2.995,0,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,7000,100,500,250,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
54,0.62,2.415471,1,1,3.8,2175,2.995,0,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,7000,100,500,250,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
55,0.62,2.450251,1,1,3.8,2390,2.998,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,6500,160,800,441,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
56,0.62,2.48589,1,1,3.8,2350,2.998,0,"[4.714, 3.143, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,1,0,0,0,0,750,6500,170,850,471,55,3,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
57,0.62,2.48589,1,1,3.8,1635,2.82,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,64,320,150,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
58,0.62,2.48589,1,1,3.8,2175,2.929,0,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,6500,160,800,441,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
