RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,i_ges_P4,Gear_Ratio,No_Gears,shiftDelay,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc
97,0.62,2.30166,1,0,4,1645,2.692,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.6,1,0,0,0,0,750,6500,48,240,115,55,15,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
98,0.62,2.327958,1,1,3.8,1885,2.864,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.6,1,0,0,0,0,750,6500,70,350,180,55,8,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
99,0.62,2.375464,1,1,3.8,1930,2.865,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.6,1,0,0,0,0,750,6500,62,310,140,200,13,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
100,0.62,2.450251,1,1,3.8,2140,2.865,3.8,"[5.5, 3.52, 2.2, 1.72, 1.3, 1.0, 0.83, 6.4]",8,0.35,0,1,0,1,0,750,6500,62,310,140,0,0,0,0,250,135,10000,0.04,0,0,0,0,166,50,15000,0.04
101,0.62,2.48589,1,1,3.8,2055,2.865,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,7000,108,540,280,200,13,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
102,0.62,2.97792,1,1,3.8,1890,2.864,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.35,1,0,0,0,0,750,6500,70,350,180,25,8,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
103,0.62,2.505725,1,1,3.8,2420,2.975,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,6500,150,750,390,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
104,0.62,2.505725,1,1,3.8,2240,2.975,0,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,7000,108,540,280,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
105,0.62,2.46715,1,1,3.8,2475,2.972,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,6500,150,750,460,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
106,0.72,3.67,1,1,3.8,2390,2.975,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,6500,150,750,390,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
107,0.68,3.17467,1,1,3.8,2170,2.975,0,"[5.5, 3.52, 2.2, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,7000,90,450,245,55,8,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
108,0.68,3.112105,1,1,3.8,2445,2.972,0,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,6500,150,750,460,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
109,0.62,2.47975,1,1,3.8,2675,3.105,0,"[5.5, 3.52, 2.2, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,6500,150,750,390,200,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
110,0.62,2.47975,1,1,3.8,2785,3.105,0,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.1,0,1,0,0,0,750,6500,130,650,360,0,0,0,0,280,145,10000,0.04,0,0,0,0,0,0,0,0
111,0.62,2.437392,1,1,3.8,2695,3.105,0,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.1,0,1,0,0,0,750,7000,90,450,230,0,0,0,0,280,145,10000,0.04,0,0,0,0,0,0,0,0
112,0.62,2.547,1,0,4,1585,2.62,0,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.6,0,1,0,0,0,750,6500,24.4,122,72,0,0,0,0,300,145,10000,0.04,0,0,0,0,0,0,0,0
113,0.62,2.547,1,0,4,1710,2.79,0,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.6,0,1,0,0,0,750,6500,24.4,122,72,0,0,0,0,300,145,10000,0.04,0,0,0,0,0,0,0,0
114,0.62,2.547,1,0,4,1940,2.765,0,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.6,0,1,0,0,0,750,6500,24.4,122,72,0,0,0,0,300,145,10000,0.04,0,0,0,0,0,0,0,0
115,0.62,2.547,1,1,3.8,1907,2.722,0,"[2.9, 1.76, 1.22, 0.88, 0.65, 0.51, 0.4, 0.33]",8,0.1,1,0,0,0,0,750,6500,122.6,613,354,165,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
116,0.62,2.547,1,0,4,1327,2.54,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,0.35,1,0,0,0,0,750,6500,41,205,74,55,16,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
117,0.62,2.565,1,0,4,1464,2.67,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.6,1,0,0,0,0,750,6500,41,205,74,55,16,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
118,0.62,2.565,1,0,4,1423,2.67,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.6,1,0,0,0,0,750,6500,46,230,100,55,16,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
119,0.62,2.556,1,0,4,1403,2.67,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.6,1,0,0,0,0,750,6500,41,205,74,51,16,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
120,0.65,2.709928,1,0,4,1403,2.67,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,1,0,0,0,0,750,6500,41,205,74,51,16,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
121,0.65,2.709928,1,0,4,1403,2.67,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,1,0,0,0,0,750,6500,46,230,100,51,16,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
122,0.65,2.709928,1,0,4,1606,2.73,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,1,0,0,0,0,750,6500,46,230,96,51,16,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
123,0.65,2.752386,1,0,4,1845,2.73,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.35,0,1,0,0,0,750,6500,60,300,110,0,0,0,0,320,81,10000,0.04,0,0,0,0,0,0,0,0
124,0.65,2.73234,1,0,4,1629,2.79,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,1.2,1,0,0,0,0,750,6500,46,230,100,51,16,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
125,0.65,2.70258,1,0,4,1591,2.785,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,1.2,1,0,0,0,0,750,6500,46,230,100,55,16,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
126,0.65,2.738488,1,0,4,1482,2.679,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,0,1,0,0,0,750,6500,50,250,110,0,0,0,0,50,9,10000,0.04,0,0,0,0,0,0,0,0
127,0.65,2.738488,1,0,4,1482,2.679,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,50,250,110,50,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
128,0.65,2.738488,1,0,4,1671,2.682,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.1,0,1,0,0,0,750,6500,50,250,110,0,0,0,0,330,85,10000,0.04,0,0,0,0,0,0,0,0
129,0.62,2.543205,1,0,4,1395,2.683,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,50,250,110,50,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
130,0.62,2.543205,1,0,4,1707,2.681,0,"[3.45, 2.09, 1.43, 1.0, 0.78, 0.65]",6,0.35,0,1,0,0,0,750,6500,50,250,110,0,0,0,0,330,85,10000,0.04,0,0,0,0,0,0,0,0
131,0.62,2.543205,1,0,4,1441,2.683,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.35,1,0,0,0,0,750,6500,50,250,110,50,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
132,0.62,2.543205,1,0,4,1439,2.686,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.35,1,0,0,0,0,750,6500,50,250,110,50,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
133,0.62,2.602356,1,0,4,1638,2.681,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,50,250,110,50,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
134,0.62,2.602356,1,0,4,1494,2.702,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,1,0,0,0,0,750,6500,34.4,172,80,55,36,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
135,0.62,2.647812,1,1,3.8,1611,2.704,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,1.2,1,0,0,0,0,750,6500,46,230,103,87,10,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
136,0.62,2.647812,1,1,3.8,1503,2.704,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,1.2,1,0,0,0,0,750,6500,46,230,96,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
137,0.62,2.603295,1,0,4,1425,2.702,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.6,1,0,0,0,0,750,6500,46,230,103,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
138,0.62,2.603295,1,0,4,1379,2.657,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,0.6,1,0,0,0,0,750,6500,46,230,96,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
139,0.62,2.566395,1,1,3.8,1465,2.658,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,1.2,1,0,0,0,0,750,6500,46,230,96,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
140,0.62,2.566395,1,0,4,1379,2.657,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,46,230,96,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
141,0.62,2.63473,1,1,3.8,1465,2.658,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,1.2,1,0,0,0,0,750,6500,46,230,96,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
142,0.62,2.63473,1,0,4,1455,2.657,0,"[2.47, 0.97, 2.21, 1.27, 0.77, 0.58]",6,0.35,1,0,0,0,0,750,6500,29.6,148,69,55,36,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
143,0.62,2.63473,1,0,4,1432,2.898,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,0,1,0,0,0,750,6500,29.6,148,69,0,0,0,0,205,35,10000,0.04,0,0,0,0,0,0,0,0
144,0.62,2.63473,1,0,4,1950,2.9,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,1.2,0,1,0,0,0,750,6500,46,230,118,0,0,0,0,310,150,10000,0.04,0,0,0,0,0,0,0,0
145,0.62,2.63473,1,0,4,2195,3.018,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,60,300,118,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
146,0.65,2.809254,1,0,4,2240,2.82,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,1.2,1,0,0,0,0,750,6500,80,400,280,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
147,0.65,2.809254,1,0,4,1249,2.558,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,0.1,1,0,0,0,0,750,6500,10.2,51,96,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
148,0.65,2.811156,1,1,3.8,1900,2.738,3.8,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.35,0,1,0,0,1,750,6500,60,300,147,0,0,0,0,320,80,10000,0.04,0,0,0,0,166,50,15000,0.04
149,0.65,2.811156,1,0,4,1760,2.738,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.35,0,1,0,0,0,750,6500,60,300,133,0,0,0,0,320,81,10000,0.04,0,0,0,0,0,0,0,0
150,0.65,2.811156,1,0,4,1463,2.675,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,0,1,0,0,0,750,6500,46,230,100,0,0,0,0,320,21,10000,0.04,0,0,0,0,0,0,0,0
151,0.65,2.811156,0,0,4,1470,2.6,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,0,1,0,0,0,750,7000,148,740,488,0,0,0,0,315,122,10000,0.04,0,0,0,0,0,0,0,0
152,0.65,2.835882,0,0,4,1540,2.6,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,0,1,0,0,0,750,7000,148,740,488,0,0,0,0,315,122,10000,0.04,0,0,0,0,0,0,0,0
153,0.65,2.835882,1,0,4,1525,2.65,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.1,1,0,0,0,0,750,6500,160.8,804,586,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
154,0.61,2.13278,1,1,3.8,1525,2.665,3.8,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,0,0,0,0,1,750,7000,170,850,662,0,0,0,0,0,0,0,0,0,0,0,0,45,50,15000,0.04
155,0.61,2.306395,1,1,3.8,1835,2.65,3.8,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,0,0,0,0,1,750,6500,160.8,804,586,0,0,0,0,0,0,0,0,0,0,0,0,166,50,15000,0.04
156,0.62,2.41011,1,1,3.8,1670,2.65,3.8,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,0,0,0,0,1,750,6500,160,800,574,0,0,0,0,0,0,0,0,0,0,0,0,166,50,15000,0.04
157,0.61,2.251096,1,0,4,1055,2.3,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,18.4,92,51,50,4,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
158,0.61,2.5542,1,0,4,1055,2.3,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,18.4,92,51,50,4,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
159,0.61,2.5542,1,0,4,1055,2.3,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,18.4,92,51,50,4,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
160,0.61,2.52525,1,0,4,1150,2.322,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,18.4,92,48,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
161,0.61,2.5155,1,0,4,1055,2.3,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,18.4,92,51,50,4,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
162,0.61,2.5155,1,0,4,1130,2.322,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,18.4,92,48,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
163,0.68,3.35664,1,0,4,1280,2.557,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,41,205,74,55,21,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
164,0.62,2.55759,1,0,4,1280,2.557,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,41,205,74,55,21,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
165,0.62,2.55759,1,0,4,1315,2.54,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,41,205,74,55,21,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
166,0.61,2.474128,1,0,4,1055,2.3,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,18.4,92,51,50,4,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
167,0.61,2.474128,1,0,4,1055,2.3,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,18.4,92,51,50,4,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
168,0.61,2.5641,1,0,4,1405,2.638,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,48,240,96,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
169,0.62,2.58685,1,0,4,1435,2.638,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,48,240,96,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
170,0.62,2.6496,0,0,4,2505,3.16,0,[9.0],1,0.35,1,0,0,0,0,750,6500,70.6,353,156,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
171,0.61,2.340575,1,0,4,1280,2.588,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,34,170,70,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
172,0.61,2.33125,1,0,4,1280,2.588,0,"[3.42, 1.96, 1.28, 0.94, 0.76, 0.63]",6,0.35,1,0,0,0,0,750,6500,42,210,92,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
173,0.61,2.33125,1,1,3.8,2560,3.27,0,"[4.7, 2.99, 2.15, 1.8, 1.52, 1.28, 1.0, 0.85, 0.69, 0.64]",10,0.35,1,0,0,0,0,750,6500,82.4,412,138,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
174,0.61,2.33125,1,1,3.8,2436,3.27,0,"[4.7, 2.99, 2.15, 1.8, 1.52, 1.28, 1.0, 0.85, 0.69, 0.64]",10,0.1,1,0,0,0,0,750,6500,42,210,92,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
175,0.61,2.525068,1,0,4,1871,2.85,0,"[3.42, 1.96, 1.28, 0.94, 0.76, 0.63]",6,0.35,0,1,0,0,0,750,6500,42,210,92,0,0,0,0,264,30,10000,0.04,0,0,0,0,0,0,0,0
176,0.61,2.474108,1,0,4,1845,2.85,0,"[3.42, 1.96, 1.28, 0.94, 0.76, 0.63]",6,0.35,0,1,0,0,0,750,6500,42,210,92,0,0,0,0,264,30,10000,0.04,0,0,0,0,0,0,0,0
177,0.61,2.4843,1,1,3.8,2390,3.355,0,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,1.2,1,0,0,0,0,750,6500,80,400,118,48,10,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
178,0.65,2.52,1,1,3.8,2390,3.355,0,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.6,1,0,0,0,0,750,6500,80,400,118,48,10,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
179,0.61,2.48126,1,1,3.8,2260,3.18,0,"[4.36, 2.47, 1.81, 1.18, 1.0, 0.83, 0.65, 0.56]",8,0.1,1,0,0,0,0,750,7000,109.8,549,305,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
180,0.61,2.48126,1,1,3.8,2470,3.37,0,"[4.36, 2.47, 1.81, 1.18, 1.0, 0.83, 0.65, 0.56]",8,0.1,1,0,0,0,0,750,7000,109.8,549,305,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
181,0.61,2.48126,1,0,4,1765,2.738,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,0,1,0,0,0,750,6500,46,230,150,0,0,0,0,300,130,10000,0.04,0,0,0,0,0,0,0,0
182,0.61,2.48126,1,0,4,2175,2.745,0,"[4.71, 2.84, 1.91, 1.38, 1.0, 0.81, 0.7, 0.58, 0.48]",9,0.35,1,0,0,0,0,750,6500,64,320,150,325,120,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
183,0.61,2.30776,1,1,3.8,2295,2.745,3.8,"[4.71, 2.84, 1.91, 1.38, 1.0, 0.81, 0.7, 0.58, 0.48]",9,0.6,0,1,0,0,1,750,6500,64,320,150,0,0,0,0,325,60,10000,0.04,0,0,0,0,232,47,15000,0.04
184,0.61,2.30776,1,1,3.8,2335,2.91,3.8,"[4.71, 2.84, 1.91, 1.38, 1.0, 0.81, 0.7, 0.58, 0.48]",9,0.1,0,1,0,1,0,750,6500,64,320,150,0,0,0,0,264,80,10000,0.04,0,0,0,0,232,50,15000,0.04
185,0.61,2.30776,1,0,4,1145,2.58,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,34.4,172,66,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
186,0.61,2.27469,1,0,4,1140,2.58,0,"[3.62, 1.96, 1.29, 0.97, 0.79, 0.67]",6,0.6,1,0,0,0,0,750,6500,34.4,172,74,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
187,0.61,2.30776,1,0,4,1291,2.65,0,"[3.62, 1.96, 1.29, 0.97, 0.77, 0.64]",6,1.2,1,0,0,0,0,750,6500,34.4,172,88,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
188,0.61,2.27469,1,0,4,1346,2.65,0,"[3.62, 1.96, 1.29, 0.97, 0.77, 0.64]",6,1.2,1,0,0,0,0,750,6500,34.4,172,88,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
189,0.61,2.383125,1,0,4,1340,2.6,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,1.2,1,0,0,0,0,750,6500,34.4,172,88,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
190,0.61,2.364375,1,0,4,1451,2.6,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,1.2,0,1,0,0,0,750,6500,29.4,147,77,0,0,0,0,170,32,10000,0.04,0,0,0,0,0,0,0,0
191,0.61,2.4384,1,0,4,1485,2.66,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,1.2,1,0,0,0,0,750,6500,26.8,134,69,170,32,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
192,0.61,2.4384,1,0,4,1889,2.79,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.6,1,0,0,0,0,750,6500,79,395,88,395,120,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
193,0.61,2.53145,1,0,4,1955,2.79,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,0,1,0,0,0,750,6500,43.7,218.5,88,0,0,0,0,350,150,10000,0.04,0,0,0,0,0,0,0,0
194,0.61,2.53145,1,0,4,1809,2.765,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,0,1,0,0,0,750,6500,53,265,132,0,0,0,0,264,44,10000,0.04,0,0,0,0,0,0,0,0
195,0.62,2.60415,1,1,3.8,1871,2.765,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,0,1,0,0,0,750,6500,53,265,132,0,0,0,0,264,44,10000,0.04,0,0,0,0,0,0,0,0
196,0.62,2.60415,1,1,3.8,2040,2.765,0,"[4.64, 2.83, 1.84, 1.39, 1.0, 0.77]",6,0.35,0,1,0,0,0,750,6500,53,265,132,0,0,0,0,304,67,10000,0.04,0,0,0,0,0,0,0,0
197,0.61,2.4384,1,0,4,1920,2.815,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,0,1,0,0,0,750,6500,53,265,118,0,0,0,0,264,48,10000,0.04,0,0,0,0,0,0,0,0
198,0.61,2.4384,1,0,4,1975,2.815,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.35,0,1,0,0,0,750,6500,53,265,132,0,0,0,0,250,48,10000,0.04,0,0,0,0,0,0,0,0
199,0.62,2.46384,1,1,3.8,1985,2.815,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.6,0,1,0,0,0,750,6500,53,265,132,0,0,0,0,264,48,10000,0.04,0,0,0,0,0,0,0,0
200,0.62,2.46384,1,0,4,2275,3.273,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.6,1,0,0,0,0,750,6500,53,265,118,55,54,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
201,0.65,2.604148,1,0,4,1650,2.68,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.6,0,1,0,0,0,750,6500,53,265,118,0,0,0,0,264,48,10000,0.04,0,0,0,0,0,0,0,0
202,0.62,2.475845,1,0,4,1445,2.7,0,"[3.87, 2.22, 1.37, 0.93, 0.96, 0.77]",6,0.6,0,1,0,0,0,750,6500,29.4,147,77,0,0,0,0,170,32,10000,0.04,0,0,0,0,0,0,0,0
203,0.62,2.475845,0,0,4,1830,2.9,0,"[4.78, 3.1, 1.98, 1.37, 1.0, 0.87, 0.78]",7,0.6,1,0,0,0,0,750,7000,70,350,268,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
204,0.62,2.475845,0,0,4,1826,2.9,0,"[4.78, 3.1, 1.98, 1.37, 1.0, 0.87, 0.78]",7,0.6,1,0,0,0,0,750,7000,72,360,235,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
205,0.62,2.475845,1,0,4,1783,2.681,0,"[5.07, 2.97, 1.95, 1.47, 1.23, 1.0, 0.81, 0.67]",8,0.6,1,0,0,0,0,750,6500,52,260,118,55,10,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
