SWEEP_RUN_ID,ORIG_RUN_ID,tq_scale,shift_delta,mass_scale,actual_0_100,RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit
1,362,0.95,0.0,1.0,9.8,362,0.6065,2.366364,1,0,3.7,1430.0,2.556,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,1.2,2598,,0.0,0,0,0,0,0,1000,6500,47.5,237.5,121.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
2,362,0.95,0.1,1.0,9.8,362,0.6065,2.366364,1,0,3.7,1430.0,2.556,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,1.3,2598,,0.0,0,0,0,0,0,1000,6500,47.5,237.5,121.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
3,362,0.95,0.2,1.0,9.8,362,0.6065,2.366364,1,0,3.7,1430.0,2.556,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,1.4,2598,,0.0,0,0,0,0,0,1000,6500,47.5,237.5,121.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
4,362,1.0,0.0,1.0,9.8,362,0.6065,2.366364,1,0,3.7,1430.0,2.556,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,1.2,2598,,0.0,0,0,0,0,0,1000,6500,50.0,250.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
5,362,1.0,0.1,1.0,9.8,362,0.6065,2.366364,1,0,3.7,1430.0,2.556,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,1.3,2598,,0.0,0,0,0,0,0,1000,6500,50.0,250.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
6,362,1.0,0.2,1.0,9.8,362,0.6065,2.366364,1,0,3.7,1430.0,2.556,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,1.4,2598,,0.0,0,0,0,0,0,1000,6500,50.0,250.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
7,362,1.05,0.0,1.0,9.8,362,0.6065,2.366364,1,0,3.7,1430.0,2.556,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,1.2,2598,,0.0,0,0,0,0,0,1000,6500,52.5,262.5,134.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
8,362,1.05,0.1,1.0,9.8,362,0.6065,2.366364,1,0,3.7,1430.0,2.556,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,1.3,2598,,0.0,0,0,0,0,0,1000,6500,52.5,262.5,134.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
9,362,1.05,0.2,1.0,9.8,362,0.6065,2.366364,1,0,3.7,1430.0,2.556,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.5, 1.84, 1.3, 1.03, 0.84]",5,1.4,2598,,0.0,0,0,0,0,0,1000,6500,52.5,262.5,134.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
10,375,0.95,0.0,1.0,9.7,375,0.5896,2.367915,1,0,4.38,1200.0,2.546,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[2.71, 1.55, 1.0, 0.68]",4,1.2,2309,,0.0,0,0,0,0,0,1000,6500,41.04,205.2,116.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
